objectid,title,Series,Episode,filename,Culture,format,description,subject
11,Federation membership treaty,Deep Space Nine,Deep Space Nine s5e10 Rapture,membershiptreaty.jpg,Starfleet,image/jpeg,The paperwork and pen used to sign a treaty during the Dominion War in Deep Space Nine s5e10 Rapture.,Starfleet
12,Practice baseball,Deep Space Nine,Deep Space Nine s7e4 Take Me Out to the Holosuite,ninersbaseball.jpg,Starfleet,image/jpeg,A baseball used by the Niners team in Deep Space Nine s7e4 Take Me Out to the Holosuite.,Starfleet; baseball; Sisko; Niners
13,Captain Sisko’s San Francisco Giants practice cap,Deep Space Nine,Deep Space Nine s7e4 Take Me Out to the Holosuite,siskosfcap.jpg,Earth,image/jpeg,The baseball cap worn by Captain Sisko during the Niners team practice in Deep Space Nine s7e4 Take Me Out to the Holosuite.,baseball; Sisko; Niners
14,Niners baseball cap,Deep Space Nine,Deep Space Nine s7e4 Take Me Out to the Holosuite,ninerscap.jpg,Starfleet,image/jpeg,One of the caps worn by the Niners team in Deep Space Nine s7e4 Take Me Out to the Holosuite.,Starfleet; baseball;  Niners
15,NX-01 Logic Module,Enterprise,Enterprise s2e6 Mauraders,logicmodule.jpg,Starfleet,image/jpeg,"Data storage chips commonly used on the original NX-01 Enterprise. Can be seen in multiple episodes, including Enterprise s2e6 Mauraders.",Starfleet; tool
16,NX-01 Intercom,Enterprise,Enterprise s2e6 Mauraders,enterpriseintercom.jpg,Starfleet,image/jpeg,"Intercom used to communicate throughout the original NX-01 Enterprise. Can be seen in multiple episodes, including Enterprise s2e6 Mauraders.",Starfleet; tool
17,Andorian Ale bottle,Enterprise,Enterprise s4e12 Babel One,andorianale.jpg; andorianalebabelone.jpg,Andorian,image/jpeg,"Bottle used to hold Andorian Ale, a powerful alcoholic beverage considered a luxury among Andorians, as seen in Enterprise s4e12 Babel One.",Andorian
18,TOPO plaque,Enterprise,Enterprise s2e24 First Flight,topo.jpg,Starfleet,image/jpeg,"Signage labeling the Trajectory Operations Officer station, as seen in Enterprise s2e24 First Flight.",Stafleet
19,Cargo container miniature models,The Next Generation,The Next Generation s5e5 Disaster,cargominis.jpg,Starfleet,image/jpeg,,Starfleet; miniature prop
20,Old Bandi City miniature model,The Next Generation,The Next Generation s1e1 Encounter at Farpoint,bandicitymini.jpg,Bandi,image/jpeg,,Bandi; miniature prop
21,Medical PADD,Voyager,Voyager s7e8 Flesh and Blood Part 1,medicalpadd.jpg,Starfleet,image/jpeg,,Starfleet; tool; tricorder
22,Delta Flyer aft console,Voyager,Voyager s5e3 Extreme Risk,deltaflyerconsole.jpg,Starfleet,image/jpeg,,Starfleet
